chapter_topic,page_topic,prompt
 Welcome to Statistics: A Modeling Approach,Doing Statistics with R,"# type whatever you want
# see... blah blah blah
"
 Welcome to Statistics: A Modeling Approach,Doing Statistics with R,"print(""Hello world!"")
"
 Welcome to Statistics: A Modeling Approach,Doing Statistics with R,"sum(1,5,10)
"
 Welcome to Statistics: A Modeling Approach,Doing Statistics with R,"# a few basic arithmetic things
5 + 1
10 - 3
2 * 4
9 / 3
"
 Welcome to Statistics: A Modeling Approach,Introduction to R Functions,"# Use the sum() function to add the numbers 5, 10, 15

# Use the print() function to print the word ""hello""
"
 Welcome to Statistics: A Modeling Approach,Introduction to R Functions,"# Run the code below by pressing Run

# Now debug the code - fix the mistake and press Run

Sum(1,2)
"
 Welcome to Statistics: A Modeling Approach,Introduction to R Functions,"# Try running this code that has left off the parenthesis at the end

# Now fix the code (by adding the closing parenthesis) and Run again

sum(50, 100
"
 Welcome to Statistics: A Modeling Approach,Introduction to R Functions,"# Try running rflip() to see what it does.
rflip()
"
 Welcome to Statistics: A Modeling Approach,Introduction to R Functions,"# Modify this code to simulate 10 coin flips.
rflip()
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# Assign 5 to num and 10 to NUM
num <-
NUM <-

# Write the name of the object that contains 10 and then press the <Run> button
# Doing so prints out the contents of that object
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# Here is the code to create two vectors my_vector and my_vector_2. We just made up those names.

# Run the code and see what happens
my_vector <- c(1,2,3,4,5)
my_vector_2 <- c(10,10,10,10,10)

# Now write some code to print out these two vectors in the R console. Run the code and see what happens.
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"my_vector <- c(1, 2, 3, 4, 5)

# write code to multiply each number in my_vector by 100
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# Run the code below to see what happens
my_vector <- c(1,2,3,4,5)
my_vector * 100

# This will print out my_vector
my_vector
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# This creates `my_vector` and stores 1, 2, 3, 4, 5 in it
my_vector <- c(1,2,3,4,5)

# Now write code to save `my_vector * 100` back into `my_vector`
my_vector <-
"
 Welcome to Statistics: A Modeling Approach,Save Your Work in R Objects,"# Write code to get the 4th value in my_vector
"
